,Title,Description,Date Created,Origin,Author,Recipient,Year,Month,Day
1500,"1882 August 8, 2nd Beach, Newport, to My dear Frank",,1882-08-08,Newport (R.I.),"Author (aut): Cope, Anna Stewardson Brown, 1822-1916","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1882,8,8
1501,"1882 August 9, Newport, to My dearest husband, Awbury",,1882-08-09,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,9
1502,"1882 August 11, Awbury, to Anna and Algie","Written by Jonathan Evans to his children in the perspective of the family dog, ""Buster"".",1882-08-11,"Awbury (Philadelphia, Pa.)","Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Anna Cope, 1875-1967|Addressee (rcp): Evans, Francis Algernon, 1878-1946",1882,8,11
1503,"1882 August 16, Newport, to Dear Papa, Awbury",,1882-08-16,Newport (R.I.),"Author (aut): Evans, Anna Cope, 1875-1967","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,16
1504,"1882 August 16, Newport, to My dearest husband",,1882-08-16,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,16
1505,"1882 August 16, Newport, to Dear papa, Awbury",written from the point of view of Francis Algernon Evans by his mother,1882-08-16,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939|Author (aut): Evans, Francis Algernon, 1878-1946","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,16
1506,"1882 August 23, Geneva, to Cheres Mesdemoiselles Cope",,1882-08-23,Geneva (Switzerland),"Author (aut): Duprois, Julia","Addressee (rcp): Cope, Annette, 1843-1916|Addressee (rcp): Cope, Caroline E. (Caroline Elizabeth), 1840-1944",1882,8,23
1507,"1882 August 24, Newport, to My dearest husband",,1882-08-24,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,24
1508,"1882 August 25, Newport, to My dearest husband, Awbury",,1882-08-25,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,25
1509,"1882 August 29, Newport, to My dear Jonathan, Awbury",,1882-08-29,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,29
1510,"1882 August 31, Newport, to My dearly beloved, Awbury",,1882-08-31,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,31
1511,"1882 August 31, Newport, to My dearest Jonathan, Awbury",,1882-08-31,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,8,31
1512,"1882 September, to Papa",,1882-09-01,Newport (R.I.),"Author (aut): Evans, Anna Cope, 1875-1967","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,9,1
1513,"1882 September 1, Newport, to My very dear husband, Awbury",,1882-09-01,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,9,1
1514,"1882 September 2, Newport, to My very dear husband, Awbury",,1882-09-02,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,9,2
1515,"1882 September 3, Meadowfield, to sister",,1882-09-03,Maryland,"Author (aut): Evans, Hannah Bacon, 1839-1939","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1882,9,3
1516,"1882 September 3, Awbury, to Algie",,1882-09-03,"Awbury (Philadelphia, Pa.)","Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Francis Algernon, 1878-1946",1882,9,3
1517,"1882 September 3, Newport, to My very dear husband, Awbury",,1882-09-03,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,9,3
1518,"1882 September 4, Newport, to My very dear husband, Awbury",,1882-09-04,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,9,4
1519,"1882 September 6, Newport, to My dearest Jonathan, Awbury","Includes an unidentified newspaper clipping ""Summer Weather: That of 1882 Compared With Other Years--Interesting Statistics Regarding Temperature, Etc.""",1882-09-06,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,9,6
1520,"1882 September 7, to Papa",,1882-09-07,Newport (R.I.),"Author (aut): Evans, Anna Cope, 1875-1967","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,9,7
1521,"1882 September 7, Newport, to My dear Jonathan, Awbury",,1882-09-07,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,9,7
1522,"1882 September 8, Newport, to My dearest husband, Awbury",,1882-09-08,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Evans, Jonathan, 1843-1911",1882,9,8
1523,"1883 June 20, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""",1883-06-20,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,6,20
1524,"1883 June 21, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""",1883-06-21,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,6,21
1525,"1883 June 22, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""",1883-06-22,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,6,22
1526,"1883 June 23, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""",1883-06-23,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,6,23
1527,"1883 June 24, Awbury, to wife","""Carrew Co"" watermark.",1883-06-24,"Awbury (Philadelphia, Pa.)","Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,6,24
1528,"1883 June 25, Philadelphia, to wife",,1883-06-25,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,6,25
1529,"1883 June 26, Philadelphia, to wife",,1883-06-26,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,6,26
1530,"1883 June 27, Philadelphia, to wife",,1883-06-27,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,6,27
1531,"1883 June 28, Philadelphia, to wife",,1883-06-28,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,6,28
1532,"1883 June 29, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""",1883-06-29,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,6,29
1533,"1883 June 30, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""",1883-06-30,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,6,30
1534,"1883 July 1, Awbury, to wife","""Carrew Co"" watermark.",1883-07-01,"Awbury (Philadelphia, Pa.)","Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,1
1535,"1883 July 1, Awbury, to wife","""Carrew Co"" watermark.
 Follows Jonathan Evans's of earlier the same day (ID:hsc0864).",1883-07-01,"Awbury (Philadelphia, Pa.)","Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,1
1536,"1883 July, Awbury, to my own dear little A","Stationery says ""Awbury."" Letter signed ""Aunt Bounce.""",1883-07-01,"Awbury (Philadelphia, Pa.)","Author (aut): Stork, Anna Brown Cope, b. 1862","Addressee (rcp): Evans, Anna Cope, 1875-1967",1883,7,1
1537,"1883 July 2, Philadelphia, to wife",,1883-07-02,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,2
1538,"1883 July 3, Philadelphia, to wife",,1883-07-03,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,3
1539,"1883 July 9, Montrose, to Mother",,1883-07-09,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1883,7,9
1540,"1883 July 11, Meadow Farm, to sister",,1883-07-11,Darlington (Md.),"Author (aut): Evans, Hannah Bacon, 1839-1939","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,11
1541,"1883 July 11, Philadelphia, to wife",,1883-07-11,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,11
1542,"1883 July 12, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""
 Includes detailed description of the death and funeral arrangements of Hannah Newhall.",1883-07-12,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,12
1543,"1883 July 14, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""",1883-07-14,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,14
1544,"1883 July 15, Awbury, to wife",,1883-07-15,"Awbury (Philadelphia, Pa.)","Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,15
1545,"1883 July 16, Philadelphia, to wife",,1883-07-16,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,16
1546,"1883 July 16, Philadelphia, to Anna",,1883-07-16,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Anna Cope, 1875-1967",1883,7,16
1547,"1883 July 17, Philadelphia, to wife",,1883-07-17,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,17
1548,"1883 July 18, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""",1883-07-18,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,18
1549,"1883 July 18, Awbury, to my dear little A","Stationery says ""ABC"" and ""Awbury."" Letter signed ""Aunt Bounce.""",1883-07-18,"Awbury (Philadelphia, Pa.)","Author (aut): Stork, Anna Brown Cope, b. 1862","Addressee (rcp): Evans, Anna Cope, 1875-1967",1883,7,18
1550,"1883 July 19, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""",1883-07-19,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,19
1551,"1883 July 20, Philadelphia, to Chellie",,1883-07-20,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,20
1552,"1883 July 21, Philadelphia, to wife",,1883-07-21,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,21
1553,"1883 July 22, Woodbourne, to Dear Anna, Newport",,1883-07-22,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1883,7,22
1554,"1883 July 23, Philadelphia, to wife",Written to wife Rachel Reeve (Cope) Evans on her 33rd birthday.,1883-07-23,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,23
1555,"1883 July 24, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""",1883-07-24,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,24
1556,"1883 July 24, Philadelphia, to daughter",,1883-07-24,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Anna Cope, 1875-1967",1883,7,24
1557,"1883 July 25, Philadelphia, to wife",,1883-07-25,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,25
1558,"1883 July 26, Philadelphia, to wife",,1883-07-26,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,26
1559,"1883 July 27, Woodbourne, to Anna",,1883-07-27,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1883,7,27
1560,"1883 July 27, Philadelphia, to wife",,1883-07-27,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,27
1561,"1883 July 28, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""",1883-07-28,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,28
1562,"1883 July 29, Woodbourne, to Anna",,1883-07-29,"Woodbourne (Susquehanna County, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1883,7,29
1563,"1883 July 30, Philadelphia, to wife",,1883-07-30,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,7,30
1564,"1883 August, to Grandpa",Written in hand of Rachel Evans for Francis Algernon Evans.,1883-08-01,,"Author (aut): Evans, Francis Algernon, 1878-1946|Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1883,8,1
1565,"1883 August 1, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""
 Letter written on son Francis Algernon Evans's fifth birthday.",1883-08-01,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,8,1
1566,"1883 August 2, Philadelphia, to wife",,1883-08-02,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,8,2
1567,"1883 August 3, Philadelphia, to Dear Chellie",,1883-08-03,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,8,3
1568,"1883 August 8, Newport, to My very dear father, Awbury",,1883-08-08,Newport (R.I.),"Author (aut): Evans, Rachel Reeve Cope, 1850-1939","Addressee (rcp): Cope, Francis Reeve, 1821-1909",1883,8,8
1569,"1883 August 12, Awbury, to Anna",,1883-08-12,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1883,8,12
1570,"1883 August 12, Awbury, to daughter","Includes account of a man being killed by the train that carroed Jonathan Evans from Newport, R.I. to Philadelphia, Pa.",1883-08-12,"Awbury (Philadelphia, Pa.)","Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Anna Cope, 1875-1967",1883,8,12
1571,"1883 August 14, Philadelphia, to wife",,1883-08-14,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,8,14
1572,"1883 August 18, Philada, to Anna",,1883-08-18,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1883,8,18
1573,"1883 August 18, Philadelphia, to wife","Written on stationary of ""The Philadelphia Creamery Supply Co. Limited, 160 N. Twenty-Second St., Jonathan Evans, Chairman.""",1883-08-18,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,8,18
1574,"1883 August 18, Awbury, to wife",,1883-08-18,"Awbury (Philadelphia, Pa.)","Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,8,18
1575,"1883 August 19, Awbury, to daughter",,1883-08-19,"Awbury (Philadelphia, Pa.)","Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Anna Cope, 1875-1967",1883,8,19
1576,"1883 August 21, Awbury, to Anna",,1883-08-21,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1883,8,21
1577,"1883 August 21, Awbury, to Dear Franky",,1883-08-21,"Awbury (Philadelphia, Pa.)","Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Francis R. (Francis Reeve), 1878-1962",1883,8,21
1578,"1883 August 21, Philadelphia, to wife","Letter describes in detail the death and funeral of Charles Wheeler, organizer of the Central National Bank of Philadelphia",1883-08-21,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,8,21
1579,"1883 August 22, Philadelphia, to wife",,1883-08-22,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,8,22
1580,"1883 August 23, Philadelphia, to wife",,1883-08-23,Philadelphia (Pa.),"Author (aut): Evans, Jonathan, 1843-1911","Addressee (rcp): Evans, Rachel Reeve Cope, 1850-1939",1883,8,23
1581,"1883 August 24, Philadelphia, to Dear Anna",,1883-08-24,Philadelphia (Pa.),"Author (aut): Cope, Francis Reeve, 1821-1909","Addressee (rcp): Cope, Anna Stewardson Brown, 1822-1916",1883,8,24
1582,"1883 August 26, Marblehead Neck, to Lilly","Clementine writes to niece Elizabeth from vacation in Marblehead Neck, Massachusetts, where she is with cousin Edgar. Summer cottages are popular in this area with Boston vacationers.

She is clearly upset with the lack of correspondence made lately by Elizabeth.",1883-08-26,Marblehead Neck (Mass.),"Author (aut): Cope, Clementine, 1835-1903","Addressee (rcp): Cope, Elizabeth S. (Elizabeth Stewardson), 1848-1937",1883,8,26
